id,type,uid,content,add_time,ups
6694955378469236166,0,2272949070,刚刚看完蜜桃 缓一下,25000,4
6694624803426106146,0,2466238439,艺兴什么时候来？,25556,5
6695124647425433726,0,557427946,来了,25668,0
6694854292118856635,0,425740957,mxh女孩速速前来,25755,0
6694740033103741232,0,1184254693,哈哈,25719,0
6694794334375294851,0,1806014594,毛毛我来了,26916,1
6694622037467162590,0,1329673626,黄子仝卓,26016,3
6695122658855574882,0,664460868,大厂女孩来了来了来了来了来了,26124,0
6694721341406065561,0,31940119,来了！,26000,1
6694903314875621239,0,1226941132,来看彭彭,26169,0
6694623751159116239,0,1952631592,没人。。。。,26000,0
6694875895804378756,0,3191234063,大厂女孩来了！！😘😘,27869,3
6694622948000230645,0,770039037,妹妹天下第一,27438,1
6695132498625654604,0,3356605179,来了,27406,0
6694985013743615213,0,1183144855,好可爱吖,27000,0
6694812545036650584,0,1424365351,啊啊啊啊啊啊阿黄人工卓！,27000,0
6694719288411697826,0,902337447,来了来了,27037,0
6695102150386730693,0,2645819292,来了,28588,1
6694957616147199784,0,3389243218,长靖，😘,28933,1
6694929930787980565,0,1973027369,这么早呀,28000,0
6694825429938570097,0,1303639815,好看,28000,1
6694728990742820889,0,3200365652,来了,28022,0
6694625400426561590,0,2439332172,人好多啊,28743,0
6694791001480670617,0,3789468348,ikun来了,29035,15
6694985361635966593,0,3544211552,从密逃过来放松,29802,5
6694694875817585070,0,2308723438,nana来看长靖啦,29612,3
6695116495577502960,0,4208169478,好看,29092,0
6694622346704808294,0,2497032561,我一个,29099,1
6694891052743980120,0,2603005713,来了,29710,0
6694622041762129895,0,419084468,第一,30226,2
6694842180311064265,0,2720647609,打卡,30839,1
6695194895910590391,0,221627997,想让王俊凯来。。。。。。。。。。。。。,30249,0
6694622011697358781,0,520173972,看完直播再来一次,30065,1
6695144679152913676,0,3702732992,来了来了,30410,0
6694726963518256813,0,3040703494,来啦,30000,0
6694719103728104076,0,122772765,希望华晨宇来,31303,6
6694857517639299772,0,1498516749,黄子弘凡仝卓我来了,31742,2
6695077578878827213,0,3237636087,潘老师你好,31039,1
6695177050321450690,0,1477526064,来了,31358,0
6694753781294060430,0,421804228,啦啦,31853,1
6694956233167729005,0,1327464606,尤长婧！,31789,0
6694629231537395903,0,2883644522,抢个头排～,32000,1
6695121464854666110,0,3631682436,来了,32198,0
6694983428900681015,0,1102024760,打卡,32712,0
6694927285088123486,0,2582344362,来了,32949,0
6694830613964110153,0,1983088242,来了,32120,0
6694625031059373354,0,908202597,来了来了,32000,0
6694624339569636956,0,2193992898,"mxh女孩来
",33067,5
6694813816346973299,0,3841303004,来啦来啦,33000,1
6695151375006933166,0,1299867318,黄老师∽∽∽∽∽,33529,0
6694627668169297661,0,1808758699,来了,33026,1
6694912828228190789,0,2497453250,黄子人工～,33017,0
6694628110550929890,0,3119262709,尤你相伴，长靖不断！,33400,0
6694731245600651687,0,563755770,主唱大人,34227,10
6694737859850288893,0,3593777236,尤长婧,34000,9
6695133576662446459,0,2105097916,刚看完蜜桃，过来缓一下,34000,0
6694786212592131981,0,2688714571,来了来了,34000,2
6694624700346890786,0,834297284,尤尤,34407,8
6694996588680492885,0,2475649218,珍珠糖来看尤尤,34000,0
6695020627612470077,0,745793683,刚从密室脱逃过来，容我缓缓,35773,2
6694820069819371576,0,3069341093,带着我的螺蛳粉来了,35000,2
6694725271301141941,0,4132040231,来了,35040,1
6695198718431489937,0,3051053402,(•̀ϖ•́ )欢迎欢迎！,35007,0
6694624107641402407,0,343160248,签到,35563,1
6694623489166110759,0,4291801563,余乐,35730,1
6695165114607324415,0,1372866492,农糖来看长靖啦,36000,0
6694622789086440437,0,676159425,承包,36800,1
6694912488925774084,0,4144350390,卜凡老婆来看可爱小尤啦ପ(´‘▽‘｀)ଓ♡⃛,36000,0
